States with Emission Caps,,,,,,
State,State abbreviation,emission caps,renewable energy ($ investment),2014 GDP (in millions USD),2014 population,Unlinked public transit trips in 2013 (in thousands)
Alabama,AL,0,40705920.09,194404,4843214.0,7514.0
Alaska,AK,0,70862200.49,58267,736705.0,5079.0
Arizona,AZ,0,124575341.71,280790,6719993.0,100261.0
Arkansas,AR,0,52712626.28,117922,2966912.0,5862.0
California,CA,1,109752866.68,2349338,38680810.0,1434266.0
Colorado,CO,0,13160036.01,305309,5349648.0,109704.0
Connecticut,CT,1,7226709.90,244784,3591873.0,44809.0
Delaware,DE,1,4308907.89,65888,934948.0,11195.0
Florida,FL,1,172925115.04,832340,19888741.0,285579.0
Georgia,GA,0,252716806.13,477522,10087231.0,161115.0
Hawaii,HI,0,124968700.38,76835,1416349.0,73078.0
Idaho,ID,0,20671251.89,63272,1633532.0,2677.0
Illinois,IL,1,53371417.00,747641,12867544.0,674192.0
Indiana,IN,0,55343983.67,324425,6595233.0,34656.0
Iowa,IA,0,205288460.48,169843,3108030.0,22724.0
Kansas,KS,0,53994997.74,147585,2899360.0,7459.0
Kentucky,KY,0,485810292.72,185748,4413057.0,27075.0
Louisiana,LA,0,212828243.49,242102,4647880.0,38411.0
Maine,ME,1,56106413.65,55325,1330719.0,5445.0
Maryland,MD,1,22657287.45,350430,5967295.0,143586.0
Massachusetts,MA,1,27959716.22,459118,6749911.0,424702.0
Michigan,MI,0,74771580.74,445209,9915767.0,98694.0
Minnesota,MN,0,88805195.17,316973,5453109.0,103567.0
Mississippi,MS,0,33783069.98,104284,2992400.0,1981.0
Missouri,MO,0,90508429.74,282034,6060930.0,68235.0
Montana,MT,1,16151351.30,45058,1022867.0,2466.0
Nebraska,NE,0,54741327.27,112087,1881145.0,6594.0
Nevada,NV,0,110498655.09,132653,2833013.0,74479.0
New Hampshire,NH,1,15746068.29,71100,1328743.0,3865.0
New Jersey,NJ,1,13061192.01,542549,8925001.0,391480.0
New Mexico,NM,0,89833741.55,94707,2083024.0,16426.0
New York,NY,1,68104747.65,1391086,19718515.0,3966731.0
North Carolina,NC,0,605583509.24,474482,9934399.0,73295.0
North Dakota,ND,0,361439262.65,59627,739904.0,2509.0
Ohio,OH,0,67000615.61,591485,11594408.0,112620.0
Oklahoma,OK,0,25486412.16,196767,3877499.0,7831.0
Oregon,OR,1,365161021.38,203326,3968371.0,124644.0
Pennsylvania,PA,0,69382316.31,684781,12790565.0,461149.0
Rhode Island,RI,0,2131487.94,53725,1054480.0,20483.0
South Carolina,SC,0,56141487.23,191168,4828430.0,11469.0
South Dakota,SD,0,16197923.53,45470,852561.0,1554.0
Tennessee,TN,0,27883483.98,298865,6544663.0,31473.0
Texas,TX,0,311337270.11,1614127,26944751.0,290399.0
Utah,UT,0,53426834.02,140500,2941836.0,46769.0
Vermont,VT,1,81718548.40,29360,626984.0,2740.0
Virginia,VA,0,127307037.53,459068,8317372.0,73559.0
Washington,WA,1,108127993.46,425105,7054196.0,243626.0
West Virginia,WV,0,11843226.34,74002,1848514.0,8525.0
Wisconsin,WI,0,77743653.75,290889,5758377.0,70584.0
Wyoming,WY,0,2949828.57,41832,583642.0,487.0
